unidade;ano;mes;case_mix;case_mix_clinico;case_mix_cirurgico
HJXXIII;2024;3;1,8252;0,9074;3,4889
HJXXIII;2024;4;1,8498;0,9175;3,6282
HJXXIII;2024;5;1,872;0,9942999999999999;3,2916
HJXXIII;2024;6;1,8851;0,9244;3,2936
HJXXIII;2024;7;1,6568;0,8943;3,076
HJXXIII;2024;8;1,8308;0,8931;3,3969
HJXXIII;2024;9;1,8855;0,8745;3,3879
HJXXIII;2024;10;1,7716;0,8839;3,2372
HJXXIII;2024;11;1,812;0,889;3,2536
HJXXIII;2024;12;1,761;0,9049;3,0399
HJXXIII;2025;1;1,7804;0,8437;3,2587
HJXXIII;2025;2;1,6732;0,7655;2,8652
HJXXIII;2025;3;1,7315;0,821;2,9978
HJXXIII;2025;4;1,4615;0,8706;2,2149
HJXXIII;2025;5;1,4101;0,8252;2,3936
HJXXIII;2025;6;1,5999;0,9028;2,7378
HJXXIII;2025;7;1,5866;0,8463;2,7125
HJXXIII;2025;8;1,5338;0,8294;2,5921
HJXXIII;2025;9;1,5348;0,8254;2,7512
HJXXIII;2025;10;1,5016;0,7997;2,5752
HJXXIII;2025;11;1,7836;0,8372;3,3263999999999996
HJXXIII;2025;12;1,4889;0,8937;2,7251
HMAL;2022;1;0,0;0,0;0,0
HMAL;2022;2;0,0;0,0;0,0
HMAL;2022;3;0,0;0,0;0,0
HMAL;2022;4;0,0;0,0;0,0
HMAL;2022;5;0,0;0,0;0,0
HMAL;2022;6;0,0;0,0;0,0
HMAL;2022;7;0,0;0,0;0,0
HMAL;2022;8;0,0;0,0;0,0
HMAL;2022;9;0,0;0,0;0,0
HMAL;2022;10;0,0;0,0;0,0
HMAL;2022;11;0,0;0,0;0,0
HMAL;2022;12;0,0;0,0;0,0
HMAL;2023;1;0,0;0,0;0,0
HMAL;2023;2;0,0;0,0;0,0
HMAL;2023;3;0,0;0,0;0,0
HMAL;2023;4;0,0;0,0;0,0
HMAL;2023;5;0,0;0,0;0,0
HMAL;2023;6;0,0;0,0;0,0
HMAL;2023;7;0,0;0,0;0,0
HMAL;2023;8;0,0;0,0;0,0
HMAL;2023;9;0,0;0,0;0,0
HMAL;2023;10;0,0;0,0;0,0
HMAL;2023;11;0,0;0,0;0,0
HMAL;2023;12;0,0;0,0;0,0
HMAL;2024;1;0,0;0,0;0,0
HMAL;2024;2;0,0;0,0;0,0
HMAL;2024;3;0,0;0,0;0,0
HMAL;2024;4;0,0;0,0;0,0
HMAL;2024;5;0,0;0,0;0,0
HMAL;2024;6;0,0;0,0;0,0
HMAL;2024;7;0,0;0,0;0,0
HMAL;2024;8;0,0;0,0;0,0
HMAL;2024;9;0,0;0,0;0,0
HMAL;2024;10;0,0;0,0;0,0
HMAL;2024;11;0,0;0,0;0,0
HMAL;2024;12;0,0;0,0;0,0
HMAL;2025;1;0,0;0,0;0,0
HMAL;2025;2;0,0;0,0;0,0
HMAL;2025;3;0,0;0,0;0,0
HMAL;2025;4;0,0;0,0;0,0
HMAL;2025;5;0,0;0,0;0,0
HMAL;2025;6;0,0;0,0;0,0
HMAL;2025;7;0,0;0,0;0,0
HMAL;2025;8;0,0;0,0;0,0
HMAL;2025;9;0,0;0,0;0,0
HMAL;2025;10;0,0;0,0;0,0
HMAL;2025;11;0,0;0,0;0,0
HMAL;2025;12;0,0;0,0;0,0
HRAD;2022;1;1,1252;0,841;1,4085
HRAD;2022;2;1,1546;0,9582000000000002;1,3332
HRAD;2022;3;1,0674;0,8849;1,2295
HRAD;2022;4;1,1518;0,8783;1,3906
HRAD;2022;5;1,1574;0,8939;1,3763
HRAD;2022;6;1,1417;0,9305;1,3201
HRAD;2022;7;1,2119;0,8407;1,504
HRAD;2022;8;1,1833;1,026;1,3089
HRAD;2022;9;1,2625;0,8283;1,6967
HRAD;2022;10;1,078;0,7941;1,3229
HRAD;2022;11;1,2148;0,9737;1,4323
HRAD;2022;12;1,1067;0,8582;1,3258
HRAD;2023;1;1,1968;0,8239000000000001;1,4785
HRAD;2023;2;1,032;0,8588;1,167
HRAD;2023;3;1,0803;0,9005;1,2371
HRAD;2023;4;1,1644;0,7993;1,5417
HRAD;2023;5;1,2673;1,1382;1,3686
HRAD;2023;6;1,1984;0,9773;1,3733
HRAD;2023;7;1,3576;0,9757000000000001;1,6744000000000003
HRAD;2023;8;1,3444;0,9295;1,6777
HRAD;2023;9;1,2949;0,9351;1,5822
HRAD;2023;10;1,2146;0,827;1,5590000000000002
HRAD;2023;11;1,2192;0,8627;1,5005
HRAD;2023;12;1,376;0,9967;1,6682
HRAD;2024;1;1,3195;0,9725000000000001;1,6589
HRAD;2024;2;1,4132;1,1284;1,6494000000000002
HRAD;2024;3;1,6296000000000002;1,1799;2,0041
HRAD;2024;4;1,4339;1,0792;1,7517999999999998
HRAD;2024;5;1,2652;1,0414;1,4485
HRAD;2024;6;1,4533;1,1636;1,6815
HRAD;2024;7;1,3997;1,0733;1,6887999999999999
HRAD;2024;8;1,251;0,9913;1,4537
HRAD;2024;9;1,2807;1,0929;1,4266
HRAD;2024;10;1,2095;1,0259;1,3645
HRAD;2024;11;1,2222;1,0417;1,3823
HRAD;2024;12;1,2696;1,108;1,4136
HRAD;2025;1;1,1957;1,0465;1,3233
HRAD;2025;2;1,5154999999999998;1,0787;1,8163000000000002
HRAD;2025;3;1,2682;1,0266;1,4727
HRAD;2025;4;1,2908;0,9873;1,5688
HRAD;2025;5;1,2582;1,1314;1,3701
HRAD;2025;6;1,3305;1,0486;1,5657
HRAD;2025;7;1,4405;1,2784;1,5762
HRAD;2025;8;1,3319;1,0503;1,5791
HRAD;2025;9;1,3215;1,0684;1,5699
HRAD;2025;10;1,4823;1,1487;1,7678999999999998
HRAD;2025;11;1,3943;1,2385;1,5383
HRAD;2025;12;1,4936999999999998;1,2578;1,7019
HRBJA;2022;1;1,1924;0,9843;1,9450000000000003
HRBJA;2022;2;1,5229;1,218;1,9040000000000001
HRBJA;2022;3;1,9296;1,4248;2,6339
HRBJA;2022;4;1,5997;1,1746;2,2151
HRBJA;2022;5;1,7376999999999998;1,1631;2,3992
HRBJA;2022;6;1,6283;1,2523;2,2468
HRBJA;2022;7;1,6888;1,5053;1,961
HRBJA;2022;8;1,7524;1,6443999999999999;1,9196999999999997
HRBJA;2022;9;1,8827;1,466;2,3764
HRBJA;2022;10;1,52;1,411;1,6289
HRBJA;2022;11;1,9222000000000001;1,3721;2,5837
HRBJA;2022;12;1,6541;1,2361;2,289
HRBJA;2023;1;1,6717000000000002;1,3047;2,2197
HRBJA;2023;2;2,0114;1,297;3,4273
HRBJA;2023;3;1,7809;1,5809;2,1294
HRBJA;2023;4;1,6915;1,5007;2,0538
HRBJA;2023;5;1,8209;1,5445999999999998;2,5117
HRBJA;2023;6;1,9435;1,2733;3,0157999999999996
HRBJA;2023;7;1,5913;1,4444;1,905
HRBJA;2023;8;1,9622;1,5468;2,6509
HRBJA;2023;9;1,9908;1,321;3,0337
HRBJA;2023;10;1,9018;1,3823;2,8982
HRBJA;2023;11;1,5719;1,3223;1,8749
HRBJA;2023;12;1,6618;1,3314;2,2421
HRBJA;2024;1;1,9043;1,3979000000000001;2,6369
HRBJA;2024;2;1,8562999999999998;1,2549000000000001;2,6401
HRBJA;2024;3;1,6854;1,2013;2,2931
HRBJA;2024;4;1,8065;1,2073;2,6948
HRBJA;2024;5;1,7506;1,1535;2,2724
HRBJA;2024;6;1,7563;1,2502;2,309
HRBJA;2024;7;2,2259;1,2383;3,1337
HRBJA;2024;8;1,77;1,2793;2,1585
HRBJA;2024;9;1,8426999999999998;1,269;2,5891
HRBJA;2024;10;1,8102;1,3384;2,1966
HRBJA;2024;11;1,7421;1,3471;2,1509
HRBJA;2024;12;1,6944;1,258;2,1152
HRBJA;2025;1;1,6221;1,3469;1,8916
HRBJA;2025;2;1,7716;1,4633;2,0441
HRBJA;2025;3;1,7462;1,293;2,2341
HRBJA;2025;4;1,9338000000000002;1,2951;2,4473
HRBJA;2025;5;1,9272;1,4722;2,3822
HRBJA;2025;6;1,7902;1,486;2,09
HRBJA;2025;7;1,6865;1,4233;1,9723000000000002
HRBJA;2025;8;1,8592;1,4237;2,2525
HRBJA;2025;9;1,732;1,3351;2,0433
HRBJA;2025;10;1,925;1,2577;2,6743
HRBJA;2025;11;1,9413;1,2269;2,5952
HRBJA;2025;12;1,7382;1,342;2,1284
HRJP;2022;1;1,047;1,1417;0,8867
HRJP;2022;2;0,8414;0,9468;0,6563
HRJP;2022;3;0,8527;0,8548;0,8495
HRJP;2022;4;0,6592;0,6669;0,6463
HRJP;2022;5;0,9126;0,8874;0,9525999999999999
HRJP;2022;6;0,6814;0,6053;0,8028
HRJP;2022;7;0,6902;0,7391;0,6279
HRJP;2022;8;0,8351;0,9030000000000001;0,7391
HRJP;2022;9;0,8459000000000001;0,9184;0,7257
HRJP;2022;10;1,0476;1,0996;0,9562
HRJP;2022;11;0,9316;0,9509;0,8985
HRJP;2022;12;0,6019;0,5925;0,6134
HRJP;2023;1;0,7033;0,6939;0,7143
HRJP;2023;2;0,6813;0,7080999999999998;0,6415
HRJP;2023;3;0,6391;0,6997;0,566
HRJP;2023;4;0,7265;0,7868;0,6448
HRJP;2023;5;0,7667;0,9236;0,5551
HRJP;2023;6;0,6418;0,7162;0,5616
HRJP;2023;7;0,6004;0,6028;0,5972
HRJP;2023;8;1,3207;1,0814;1,6736
HRJP;2023;9;1,0506;1,2172999999999998;0,81
HRJP;2023;10;1,1778;1,2011;1,1468
HRJP;2023;11;1,3501;1,214;1,5222
HRJP;2023;12;1,3058;1,2819;1,3445000000000003
HRJP;2024;1;1,1995;1,2547000000000001;1,1156
HRJP;2024;2;1,2528000000000001;1,1445;1,4487
HRJP;2024;3;1,2376;1,2179;1,274
HRJP;2024;4;1,045;0,8855;1,3871
HRJP;2024;5;1,1061;1,0106;1,2955
HRJP;2024;6;1,1636;1,1891;1,1169000000000002
HRJP;2024;7;1,3337999999999999;1,2179;1,5262
HRJP;2024;8;1,2094;1,1362;1,321
HRJP;2024;9;1,1952;1,2191;1,1636
HRJP;2024;10;1,2118;1,0362;1,4843
HRJP;2024;11;0,8566;0,8087;0,9196
HRJP;2024;12;1,1712;1,104;1,2631
HRJP;2025;1;0,9493;0,9323;0,9708
HRJP;2025;2;0,9458;0,9662;0,9175
HRJP;2025;3;1,0753;0,9644;1,2373
HRJP;2025;4;1,1335;1,0551;1,2499
HRJP;2025;5;0,9601;1,119;0,7059
HRJP;2025;6;1,019;1,0797;0,9145
HRJP;2025;7;1,0889;1,1692;0,9829
HRJP;2025;8;1,0323;1,0562;1,0036
HRJP;2025;9;1,0566;1,1159;0,9783000000000001
HRJP;2025;10;1,0753;1,0747;1,0762
HRJP;2025;11;0,9133;1,0088;0,7784
HRJP;2025;12;1,0942;1,172;0,9824
MOV;2022;1;0,7107;0,7155;0,7048
MOV;2022;2;0,7861;0,9315;0,6209
MOV;2022;3;0,8339;1,0508;0,6319
MOV;2022;4;0,8897;1,136;0,6287
MOV;2022;5;0,8326;1,0106;0,635
MOV;2022;6;0,843;0,9049;0,7802000000000001
MOV;2022;7;0,9082;1,0424;0,7663
MOV;2022;8;0,8048;0,9829000000000001;0,6178
MOV;2022;9;0,7772;0,9174000000000001;0,6124
MOV;2022;10;0,8104;0,8191;0,8
MOV;2022;11;0,8739999999999999;1,0609;0,6555
MOV;2022;12;0,8612999999999998;1,0494;0,6366
MOV;2023;1;0,7839;0,8985;0,6476
MOV;2023;2;0,8414;1,0109;0,6383
MOV;2023;3;0,8076000000000001;0,9642000000000001;0,626
MOV;2023;4;0,9066;1,0801;0,697
MOV;2023;5;0,8202;0,9886000000000001;0,6365
MOV;2023;6;0,8112000000000001;0,9827;0,629
MOV;2023;7;0,8501;1,037;0,6346
MOV;2023;8;0,8327;1,0033;0,6389
MOV;2023;9;0,9025000000000001;1,0766;0,698
MOV;2023;10;0,8566;1,0545;0,6389
MOV;2023;11;0,9278;1,1533;0,6659
MOV;2023;12;0,8616999999999999;1,0363;0,6699
MOV;2024;1;0,8575;1,0166;0,6528
MOV;2024;2;0,9354;1,1792;0,645
MOV;2024;3;0,7961;0,9244;0,6397
MOV;2024;4;0,9347;1,1681;0,6535
